name,cuisine,cost_slot,rating,address
Peacock Rooftop Restaurant,North Indian,₹800–₹1200 per person,4.5,"MI Road, Jaipur"
Laxmi Misthan Bhandar,Rajasthani,₹200–₹500 per person,4.3,"Johari Bazaar, Jaipur"
Handi Restaurant,Mughlai,₹600–₹1000 per person,4.4,"Vaishali Nagar, Jaipur"
Spice Court,North Indian,₹700–₹1100 per person,4.2,"Civil Lines, Jaipur"
Chokhi Dhani,Rajasthani,₹800–₹1200 per person,4.7,"Tonk Road, Jaipur"
Dragon House,Chinese,₹600–₹900 per person,4.3,"MI Road, Jaipur"
Peshawri,North Indian,₹1000–₹1600 per person,4.6,"ITC Rajputana, Jaipur"
Tapri Central,Café,₹400–₹700 per person,4.5,"C Scheme, Jaipur"
Bar Palladio,Italian,₹900–₹1400 per person,4.6,"Narain Niwas Palace, Jaipur"
RJ14,Rajasthani,₹500–₹800 per person,4.4,"Ajmer Road, Jaipur"
